timestamp,location,sensor,value
2024-01-04T22:08:00.000Z,zone-b,temperature,22.8
2024-01-04T22:27:00.000Z,zone-d,light,332.9
2024-01-04T23:55:00.000Z,zone-d,pressure,994
2024-01-05T00:01:00.000Z,zone-c,light,446.6
2024-01-05T00:24:00.000Z,zone-b,light,415.2
2024-01-05T01:31:00.000Z,zone-d,temperature,26
2024-01-05T01:33:00.000Z,zone-c,humidity,47.4
2024-01-05T04:34:00.000Z,zone-b,humidity,79
2024-01-05T05:46:00.000Z,zone-a,temperature,20.8
2024-01-05T07:20:00.000Z,zone-a,pressure,1010.7
2024-01-05T07:33:00.000Z,zone-c,pressure,1001.2
2024-01-05T08:00:00.000Z,zone-b,pressure,994
2024-01-05T10:23:00.000Z,zone-c,temperature,24.5
2024-01-05T19:30:00.000Z,zone-c,pressure,1005.2
2024-01-05T19:57:00.000Z,zone-a,humidity,68.4
2024-01-06T00:55:00.000Z,zone-a,light,535.2
2024-01-06T02:26:00.000Z,zone-b,light,607.9
2024-01-06T05:58:00.000Z,zone-d,temperature,30.9
2024-01-06T06:18:00.000Z,zone-c,temperature,26.4
2024-01-06T06:42:00.000Z,zone-b,temperature,29.3
2024-01-06T06:49:00.000Z,zone-c,humidity,71.9
2024-01-06T07:59:00.000Z,zone-d,light,493.9
2024-01-06T10:30:00.000Z,zone-d,pressure,993.6
2024-01-06T10:46:00.000Z,zone-a,temperature,24.3
2024-01-06T12:48:00.000Z,zone-a,pressure,1006.6
2024-01-06T14:41:00.000Z,zone-c,light,616.9
2024-01-06T15:09:00.000Z,zone-b,pressure,992.6
2024-01-06T17:43:00.000Z,zone-b,humidity,53.6
2024-01-06T17:44:00.000Z,zone-d,humidity,71
2024-01-06T21:18:00.000Z,zone-a,pressure,1019
2024-01-06T21:52:00.000Z,zone-b,light,456.8
2024-01-06T22:02:00.000Z,zone-a,temperature,22.6
2024-01-07T03:20:00.000Z,zone-a,humidity,62.9
2024-01-07T05:44:00.000Z,zone-d,light,392.4
2024-01-07T07:00:00.000Z,zone-d,humidity,57.8
2024-01-07T07:15:00.000Z,zone-c,pressure,1000.8
2024-01-07T11:31:00.000Z,zone-c,light,388.2
2024-01-07T12:32:00.000Z,zone-d,pressure,990.4
2024-01-07T12:44:00.000Z,zone-a,light,157.1
2024-01-07T13:13:00.000Z,zone-d,temperature,30.9
2024-01-07T14:26:00.000Z,zone-c,temperature,24.9
2024-01-07T15:54:00.000Z,zone-b,humidity,63.9
2024-01-07T18:13:00.000Z,zone-c,humidity,46.6
2024-01-07T18:14:00.000Z,zone-b,pressure,1008.6
2024-01-07T18:28:00.000Z,zone-b,temperature,25.8
2024-01-07T19:30:00.000Z,zone-d,pressure,1008.1
2024-01-07T20:47:00.000Z,zone-b,pressure,1006.4
2024-01-07T21:04:00.000Z,zone-a,humidity,33.7
2024-01-07T21:17:00.000Z,zone-a,temperature,21.3
2024-01-08T03:14:00.000Z,zone-c,light,610.5
2024-01-08T05:23:00.000Z,zone-b,humidity,49.3
2024-01-08T06:36:00.000Z,zone-a,light,149.2
2024-01-08T08:34:00.000Z,zone-b,temperature,19.6
2024-01-08T08:49:00.000Z,zone-d,light,798.2
2024-01-08T11:52:00.000Z,zone-a,pressure,1019.3
2024-01-08T14:27:00.000Z,zone-c,pressure,996.3
2024-01-08T16:24:00.000Z,zone-d,humidity,70.5
2024-01-08T17:39:00.000Z,zone-c,temperature,29
2024-01-08T17:46:00.000Z,zone-c,humidity,63.7
2024-01-08T17:53:00.000Z,zone-b,light,713.6
2024-01-08T18:29:00.000Z,zone-d,temperature,22.7
2024-01-08T20:53:00.000Z,zone-b,light,132.7
2024-01-08T21:48:00.000Z,zone-b,temperature,16.3
2024-01-08T22:23:00.000Z,zone-b,humidity,32.3
2024-01-08T23:27:00.000Z,zone-d,pressure,1015.9
2024-01-09T00:03:00.000Z,zone-a,pressure,1009.9
2024-01-09T00:13:00.000Z,zone-a,temperature,20.6
2024-01-09T02:58:00.000Z,zone-a,light,286.6
2024-01-09T03:13:00.000Z,zone-b,pressure,1019.5
2024-01-09T05:15:00.000Z,zone-a,humidity,73
2024-01-09T06:17:00.000Z,zone-c,temperature,18.7
2024-01-09T06:44:00.000Z,zone-d,light,502.8
2024-01-09T10:28:00.000Z,zone-d,humidity,44.1
2024-01-09T10:33:00.000Z,zone-c,light,708.5
2024-01-09T15:46:00.000Z,zone-d,temperature,16.3
2024-01-09T16:46:00.000Z,zone-c,pressure,1003.5
2024-01-09T17:11:00.000Z,zone-c,humidity,66.4
2024-01-09T19:20:00.000Z,zone-a,pressure,1003.5
2024-01-09T19:52:00.000Z,zone-d,pressure,998.7
2024-01-09T20:24:00.000Z,zone-b,light,592.5
2024-01-09T22:36:00.000Z,zone-c,temperature,23
2024-01-09T22:54:00.000Z,zone-a,humidity,62.7
2024-01-09T23:24:00.000Z,zone-b,humidity,59.8
2024-01-10T01:01:00.000Z,zone-d,humidity,32.2
2024-01-10T02:13:00.000Z,zone-b,pressure,1010.5
2024-01-10T04:42:00.000Z,zone-c,humidity,64.4
2024-01-10T06:48:00.000Z,zone-a,temperature,28.4
2024-01-10T08:54:00.000Z,zone-c,pressure,1016.7
2024-01-10T09:19:00.000Z,zone-d,light,820.5
2024-01-10T11:35:00.000Z,zone-a,light,188.2
2024-01-10T11:40:00.000Z,zone-c,light,211
2024-01-10T11:44:00.000Z,zone-b,temperature,18.3
2024-01-10T16:33:00.000Z,zone-d,temperature,33
2024-01-10T19:39:00.000Z,zone-a,temperature,15.3
2024-01-10T20:21:00.000Z,zone-b,temperature,17.1
2024-01-10T22:08:00.000Z,zone-d,pressure,1014
2024-01-10T22:37:00.000Z,zone-b,pressure,1016.5
2024-01-10T23:48:00.000Z,zone-d,temperature,23.1
2024-01-10T23:56:00.000Z,zone-c,light,500.7
2024-01-11T02:48:00.000Z,zone-a,pressure,999.2
2024-01-11T03:31:00.000Z,zone-c,humidity,33.1
2024-01-11T05:11:00.000Z,zone-a,humidity,41.1
2024-01-11T05:52:00.000Z,zone-d,light,283.3
2024-01-11T10:54:00.000Z,zone-a,light,332.8
2024-01-11T11:51:00.000Z,zone-c,temperature,16.9
2024-01-11T12:51:00.000Z,zone-b,humidity,63.1
2024-01-11T15:09:00.000Z,zone-d,humidity,70.2
2024-01-11T16:59:00.000Z,zone-b,light,867.5
2024-01-11T17:22:00.000Z,zone-c,pressure,1018.9
2024-01-11T21:05:00.000Z,zone-b,pressure,992.3
2024-01-11T21:08:00.000Z,zone-d,light,783.8
2024-01-11T21:41:00.000Z,zone-c,humidity,52.2
2024-01-11T22:26:00.000Z,zone-b,temperature,32.9
2024-01-12T01:13:00.000Z,zone-b,light,337.5
2024-01-12T01:41:00.000Z,zone-c,temperature,27.9
2024-01-12T06:28:00.000Z,zone-d,pressure,999.9
2024-01-12T06:36:00.000Z,zone-d,humidity,70
2024-01-12T07:40:00.000Z,zone-a,temperature,26.5
2024-01-12T08:06:00.000Z,zone-a,pressure,991
2024-01-12T10:08:00.000Z,zone-a,humidity,45.6
2024-01-12T13:37:00.000Z,zone-c,light,155.2
2024-01-12T13:43:00.000Z,zone-c,pressure,996.4
2024-01-12T15:52:00.000Z,zone-b,humidity,48.2
2024-01-12T16:37:00.000Z,zone-a,light,728.3
2024-01-12T17:35:00.000Z,zone-d,temperature,31.1
2024-01-12T21:30:00.000Z,zone-c,light,687.6
2024-01-12T21:45:00.000Z,zone-d,humidity,44.1
2024-01-12T23:45:00.000Z,zone-c,humidity,33
2024-01-13T06:04:00.000Z,zone-b,temperature,18.7
2024-01-13T07:43:00.000Z,zone-b,light,694.8
2024-01-13T10:33:00.000Z,zone-a,light,234.5
2024-01-13T12:50:00.000Z,zone-b,pressure,1003
2024-01-13T12:54:00.000Z,zone-c,temperature,21
2024-01-13T12:56:00.000Z,zone-d,light,882.1
2024-01-13T13:27:00.000Z,zone-d,pressure,1015.6
2024-01-13T13:37:00.000Z,zone-c,pressure,996
2024-01-13T14:22:00.000Z,zone-b,humidity,61.7
2024-01-13T15:29:00.000Z,zone-a,humidity,56.2
2024-01-13T16:05:00.000Z,zone-a,pressure,1015.7
2024-01-13T16:08:00.000Z,zone-a,temperature,27.2
2024-01-13T17:25:00.000Z,zone-d,temperature,19.3
2024-01-13T20:22:00.000Z,zone-a,temperature,24.7
2024-01-13T21:49:00.000Z,zone-d,temperature,27.4
2024-01-13T21:58:00.000Z,zone-b,pressure,1000.8
2024-01-13T22:10:00.000Z,zone-a,humidity,47
2024-01-13T22:59:00.000Z,zone-c,light,202.2
2024-01-14T01:23:00.000Z,zone-b,light,108.9
2024-01-14T04:24:00.000Z,zone-d,humidity,32.9
2024-01-14T06:39:00.000Z,zone-b,humidity,61.5
2024-01-14T06:46:00.000Z,zone-c,pressure,1016.4
2024-01-14T06:59:00.000Z,zone-d,light,569.6
2024-01-14T09:58:00.000Z,zone-b,temperature,15.9
2024-01-14T14:24:00.000Z,zone-a,light,119.4
2024-01-14T15:18:00.000Z,zone-a,pressure,1007.7
2024-01-14T15:19:00.000Z,zone-c,humidity,51.4
2024-01-14T15:39:00.000Z,zone-d,pressure,1014
2024-01-14T16:18:00.000Z,zone-c,temperature,26.2
2024-01-14T21:21:00.000Z,zone-b,humidity,50.4
2024-01-14T23:35:00.000Z,zone-c,temperature,27.7
2024-01-15T00:08:00.000Z,zone-d,temperature,34.1
2024-01-15T00:21:00.000Z,zone-d,humidity,54.8
2024-01-15T04:14:00.000Z,zone-a,temperature,17
2024-01-15T04:46:00.000Z,zone-d,pressure,1006.7
2024-01-15T06:48:00.000Z,zone-c,light,494.2
2024-01-15T06:53:00.000Z,zone-a,pressure,998.9
2024-01-15T07:58:00.000Z,zone-c,humidity,56.7
2024-01-15T08:23:00.000Z,zone-b,temperature,21.4
2024-01-15T09:07:00.000Z,zone-a,humidity,60.8
2024-01-15T09:12:00.000Z,zone-b,pressure,999.4
2024-01-15T09:17:00.000Z,zone-a,light,638.7
2024-01-15T15:11:00.000Z,zone-b,light,770.7
2024-01-15T15:44:00.000Z,zone-c,pressure,1015.1
2024-01-15T17:17:00.000Z,zone-d,light,359.5
2024-01-15T22:57:00.000Z,zone-d,light,374.1
2024-01-15T23:16:00.000Z,zone-b,humidity,33.5
2024-01-16T01:30:00.000Z,zone-c,humidity,78
2024-01-16T02:12:00.000Z,zone-a,temperature,28.2
2024-01-16T03:29:00.000Z,zone-d,humidity,49.4
2024-01-16T03:55:00.000Z,zone-b,temperature,27.4
2024-01-16T04:13:00.000Z,zone-d,pressure,1009.1
2024-01-16T06:10:00.000Z,zone-a,pressure,1019
2024-01-16T07:44:00.000Z,zone-a,light,670.8
2024-01-16T12:37:00.000Z,zone-b,pressure,1007
2024-01-16T14:52:00.000Z,zone-c,light,280.3
2024-01-16T15:18:00.000Z,zone-b,light,281.2
2024-01-16T16:46:00.000Z,zone-c,pressure,1007.8
2024-01-16T16:59:00.000Z,zone-d,temperature,24.5
2024-01-16T17:46:00.000Z,zone-c,temperature,23.5
2024-01-16T18:17:00.000Z,zone-a,humidity,47.6
2024-01-16T18:33:00.000Z,zone-b,temperature,32.1
2024-01-16T18:42:00.000Z,zone-d,temperature,30.4
2024-01-16T23:10:00.000Z,zone-c,humidity,45.7
2024-01-16T23:30:00.000Z,zone-d,humidity,30.5
2024-01-17T00:11:00.000Z,zone-c,pressure,1011
2024-01-17T00:17:00.000Z,zone-b,light,504.8
2024-01-17T01:17:00.000Z,zone-c,light,314
2024-01-17T03:41:00.000Z,zone-a,humidity,31.7
2024-01-17T08:05:00.000Z,zone-c,temperature,20.8
2024-01-17T08:37:00.000Z,zone-a,light,670.5
2024-01-17T08:47:00.000Z,zone-b,humidity,51.1
2024-01-17T11:50:00.000Z,zone-d,light,864.2
2024-01-17T12:47:00.000Z,zone-b,pressure,991.4
2024-01-17T14:52:00.000Z,zone-d,pressure,1006.2
2024-01-17T15:39:00.000Z,zone-a,pressure,1008.8
2024-01-17T16:18:00.000Z,zone-a,temperature,21.6
2024-01-17T18:56:00.000Z,zone-b,humidity,53.6
2024-01-17T19:28:00.000Z,zone-c,pressure,1013.8
2024-01-17T20:17:00.000Z,zone-b,temperature,22.4
2024-01-17T22:54:00.000Z,zone-d,pressure,1019.8
2024-01-18T00:49:00.000Z,zone-c,light,330.9
2024-01-18T03:10:00.000Z,zone-b,pressure,1003.9
2024-01-18T03:32:00.000Z,zone-c,temperature,21.1
2024-01-18T04:52:00.000Z,zone-d,temperature,27
2024-01-18T04:57:00.000Z,zone-a,light,728.6
2024-01-18T05:10:00.000Z,zone-d,humidity,60.5
2024-01-18T07:08:00.000Z,zone-d,light,196.6
2024-01-18T07:35:00.000Z,zone-a,humidity,61.1
2024-01-18T08:18:00.000Z,zone-c,humidity,64.6
2024-01-18T11:59:00.000Z,zone-a,temperature,15.8
2024-01-18T12:57:00.000Z,zone-a,pressure,1008
2024-01-18T14:27:00.000Z,zone-b,light,670.5
2024-01-18T19:31:00.000Z,zone-c,light,395.7
2024-01-18T22:03:00.000Z,zone-c,humidity,65.6
2024-01-18T23:34:00.000Z,zone-c,pressure,996.2
2024-01-19T00:52:00.000Z,zone-c,temperature,17.9
2024-01-19T03:01:00.000Z,zone-d,pressure,1018.6
2024-01-19T03:57:00.000Z,zone-d,light,497.9
2024-01-19T04:47:00.000Z,zone-b,humidity,55.7
2024-01-19T06:12:00.000Z,zone-a,light,277.5
2024-01-19T08:15:00.000Z,zone-d,humidity,38
2024-01-19T10:04:00.000Z,zone-b,pressure,1014
2024-01-19T10:04:00.000Z,zone-d,temperature,27.1
2024-01-19T10:19:00.000Z,zone-a,humidity,31.5
2024-01-19T11:52:00.000Z,zone-a,pressure,1019.9
2024-01-19T12:58:00.000Z,zone-b,light,177.7
2024-01-19T16:14:00.000Z,zone-a,temperature,17
2024-01-19T16:37:00.000Z,zone-b,temperature,15.5
2024-01-19T19:21:00.000Z,zone-d,temperature,25.5
2024-01-19T22:38:00.000Z,zone-b,temperature,34.6
2024-01-19T23:30:00.000Z,zone-a,humidity,58.3
2024-01-20T01:07:00.000Z,zone-d,light,451.1
2024-01-20T01:33:00.000Z,zone-c,temperature,16.3
2024-01-20T04:51:00.000Z,zone-b,pressure,991.6
2024-01-20T05:35:00.000Z,zone-b,humidity,50.1
2024-01-20T05:36:00.000Z,zone-a,light,293.8
2024-01-20T07:05:00.000Z,zone-a,temperature,33.1
2024-01-20T07:26:00.000Z,zone-c,pressure,1017.9
2024-01-20T07:54:00.000Z,zone-d,humidity,75.6
2024-01-20T09:50:00.000Z,zone-c,humidity,76.9
2024-01-20T10:13:00.000Z,zone-d,pressure,1008
2024-01-20T10:45:00.000Z,zone-b,light,168.7
2024-01-20T12:30:00.000Z,zone-c,light,639.5
2024-01-20T17:14:00.000Z,zone-a,pressure,1015.8
2024-01-20T19:19:00.000Z,zone-c,pressure,1013.6
2024-01-20T22:12:00.000Z,zone-d,temperature,16.4
2024-01-21T00:32:00.000Z,zone-a,light,488.6
2024-01-21T00:39:00.000Z,zone-a,pressure,990.6
2024-01-21T00:58:00.000Z,zone-d,pressure,1017.1
2024-01-21T04:08:00.000Z,zone-b,humidity,58
2024-01-21T05:11:00.000Z,zone-a,temperature,17.2
2024-01-21T06:21:00.000Z,zone-b,light,339.8
2024-01-21T07:59:00.000Z,zone-c,light,663.4
2024-01-21T08:25:00.000Z,zone-d,humidity,44.3
2024-01-21T08:31:00.000Z,zone-c,temperature,29.2
2024-01-21T08:47:00.000Z,zone-b,pressure,1017.7
2024-01-21T11:42:00.000Z,zone-d,light,182
2024-01-21T11:50:00.000Z,zone-c,humidity,46.6
2024-01-21T12:39:00.000Z,zone-a,humidity,58
2024-01-21T17:32:00.000Z,zone-b,temperature,34.9
2024-01-21T21:30:00.000Z,zone-b,temperature,29.9
2024-01-21T22:01:00.000Z,zone-b,pressure,1001.1
2024-01-21T23:43:00.000Z,zone-c,pressure,1012.6
2024-01-22T01:07:00.000Z,zone-d,pressure,1004.4
2024-01-22T01:51:00.000Z,zone-c,humidity,43.2
2024-01-22T01:54:00.000Z,zone-d,temperature,33.1
2024-01-22T02:25:00.000Z,zone-a,light,412.1
2024-01-22T05:18:00.000Z,zone-a,pressure,1009.1
2024-01-22T07:23:00.000Z,zone-c,temperature,34.9
2024-01-22T09:17:00.000Z,zone-a,humidity,39.6
2024-01-22T09:22:00.000Z,zone-a,temperature,28.9
2024-01-22T14:15:00.000Z,zone-b,light,228.3
2024-01-22T14:42:00.000Z,zone-d,light,209.4
2024-01-22T15:27:00.000Z,zone-d,humidity,38.3
2024-01-22T16:16:00.000Z,zone-b,humidity,79.6
2024-01-22T17:24:00.000Z,zone-c,light,533.4
2024-01-22T18:52:00.000Z,zone-d,humidity,43.6
2024-01-22T19:21:00.000Z,zone-c,temperature,23.2
2024-01-22T19:31:00.000Z,zone-d,pressure,1013.2
2024-01-22T19:56:00.000Z,zone-a,pressure,994.3
2024-01-22T22:03:00.000Z,zone-b,pressure,990.4
2024-01-22T22:26:00.000Z,zone-b,humidity,79.6
2024-01-23T00:05:00.000Z,zone-c,light,255.6
2024-01-23T02:37:00.000Z,zone-c,humidity,55.7
2024-01-23T04:17:00.000Z,zone-c,pressure,997.2
2024-01-23T04:27:00.000Z,zone-a,light,593
2024-01-23T06:42:00.000Z,zone-d,temperature,15.5
2024-01-23T07:49:00.000Z,zone-b,light,358.7
2024-01-23T10:07:00.000Z,zone-d,light,582.5
2024-01-23T10:49:00.000Z,zone-b,temperature,19.3
2024-01-23T17:06:00.000Z,zone-a,humidity,49.3
2024-01-23T17:52:00.000Z,zone-a,temperature,27.3
2024-01-23T23:36:00.000Z,zone-b,pressure,1016.9
2024-01-24T01:02:00.000Z,zone-c,humidity,38.2
2024-01-24T03:21:00.000Z,zone-d,light,331.8
2024-01-24T03:46:00.000Z,zone-d,temperature,30.6
2024-01-24T04:43:00.000Z,zone-a,temperature,16.1
2024-01-24T05:16:00.000Z,zone-b,light,698.9
2024-01-24T06:39:00.000Z,zone-c,light,525.9
2024-01-24T07:01:00.000Z,zone-c,pressure,994.2
2024-01-24T09:36:00.000Z,zone-b,humidity,51.5
2024-01-24T11:35:00.000Z,zone-d,humidity,78.4
2024-01-24T11:53:00.000Z,zone-a,pressure,996.7
2024-01-24T12:00:00.000Z,zone-a,humidity,62.3
2024-01-24T13:03:00.000Z,zone-c,temperature,16.5
2024-01-24T13:27:00.000Z,zone-d,pressure,1007.7
2024-01-24T16:47:00.000Z,zone-b,temperature,27.7
2024-01-24T17:38:00.000Z,zone-a,light,457.1
2024-01-24T19:27:00.000Z,zone-c,pressure,1009
2024-01-24T20:25:00.000Z,zone-b,humidity,74.7
2024-01-24T21:28:00.000Z,zone-c,humidity,33.5
2024-01-24T22:59:00.000Z,zone-d,temperature,18.7
2024-01-25T00:51:00.000Z,zone-d,light,109.4
2024-01-25T01:39:00.000Z,zone-c,temperature,35
2024-01-25T03:00:00.000Z,zone-a,pressure,1014.9
2024-01-25T04:57:00.000Z,zone-c,light,265.7
2024-01-25T05:28:00.000Z,zone-b,light,701.9
2024-01-25T07:05:00.000Z,zone-a,temperature,26.6
2024-01-25T09:47:00.000Z,zone-b,pressure,1004
2024-01-25T10:15:00.000Z,zone-a,humidity,31.5
2024-01-25T10:35:00.000Z,zone-d,humidity,51
2024-01-25T12:06:00.000Z,zone-a,light,693.9
2024-01-25T16:07:00.000Z,zone-b,temperature,27.2
2024-01-25T16:31:00.000Z,zone-d,pressure,997
2024-01-25T18:38:00.000Z,zone-a,temperature,32.7
2024-01-25T19:42:00.000Z,zone-b,humidity,74.6
2024-01-25T20:18:00.000Z,zone-b,temperature,31.9
2024-01-25T22:40:00.000Z,zone-d,temperature,28
2024-01-25T23:37:00.000Z,zone-d,humidity,54.8
2024-01-26T00:05:00.000Z,zone-c,light,345.8
2024-01-26T01:11:00.000Z,zone-c,temperature,33.5
2024-01-26T04:35:00.000Z,zone-b,pressure,992.3
2024-01-26T04:50:00.000Z,zone-b,light,837.1
2024-01-26T05:17:00.000Z,zone-c,humidity,50.1
2024-01-26T07:46:00.000Z,zone-c,pressure,1006.2
2024-01-26T08:03:00.000Z,zone-d,light,325
2024-01-26T10:22:00.000Z,zone-a,pressure,1011.7
2024-01-26T11:09:00.000Z,zone-d,pressure,1011.9
2024-01-26T16:05:00.000Z,zone-a,light,139.1
2024-01-26T18:15:00.000Z,zone-a,humidity,78.7
2024-01-26T18:39:00.000Z,zone-a,pressure,995.5
2024-01-26T20:15:00.000Z,zone-d,light,416.6
2024-01-27T01:02:00.000Z,zone-a,humidity,36.9
2024-01-27T01:13:00.000Z,zone-c,temperature,25.9
2024-01-27T01:33:00.000Z,zone-d,temperature,23.7
2024-01-27T02:00:00.000Z,zone-b,humidity,59.7
2024-01-27T02:17:00.000Z,zone-b,temperature,15.8
2024-01-27T03:01:00.000Z,zone-a,temperature,18.9
2024-01-27T04:41:00.000Z,zone-c,light,703.6
2024-01-27T07:10:00.000Z,zone-c,humidity,36.6
2024-01-27T07:21:00.000Z,zone-d,pressure,1017.4
2024-01-27T11:43:00.000Z,zone-c,pressure,1002.9
2024-01-27T11:47:00.000Z,zone-b,pressure,995.5
2024-01-27T13:43:00.000Z,zone-d,humidity,60.7
2024-01-27T14:43:00.000Z,zone-a,light,340.8
2024-01-27T17:27:00.000Z,zone-b,light,498.5
2024-01-27T18:38:00.000Z,zone-b,temperature,16.4
2024-01-27T23:13:00.000Z,zone-b,humidity,61.3
2024-01-27T23:20:00.000Z,zone-a,humidity,34.6
2024-01-28T02:44:00.000Z,zone-c,pressure,992.3
2024-01-28T03:47:00.000Z,zone-b,light,612.3
2024-01-28T04:14:00.000Z,zone-c,temperature,26.7
2024-01-28T06:44:00.000Z,zone-a,pressure,1001.1
2024-01-28T07:28:00.000Z,zone-d,pressure,1001.5
2024-01-28T07:54:00.000Z,zone-d,temperature,26.8
2024-01-28T09:47:00.000Z,zone-d,humidity,66.4
2024-01-28T10:13:00.000Z,zone-c,light,569.9
2024-01-28T10:45:00.000Z,zone-a,light,411.1
2024-01-28T13:35:00.000Z,zone-a,temperature,31.4
2024-01-28T14:43:00.000Z,zone-b,pressure,991
2024-01-28T16:41:00.000Z,zone-c,humidity,35.5
2024-01-28T18:02:00.000Z,zone-d,light,472
2024-01-28T18:54:00.000Z,zone-c,pressure,999
2024-01-28T23:01:00.000Z,zone-a,temperature,30.7
2024-01-29T00:43:00.000Z,zone-b,temperature,33.8
2024-01-29T03:10:00.000Z,zone-a,light,706.9
2024-01-29T05:46:00.000Z,zone-b,light,100.4
2024-01-29T08:54:00.000Z,zone-c,temperature,26
2024-01-29T09:11:00.000Z,zone-b,pressure,998.3
2024-01-29T09:30:00.000Z,zone-c,light,230.1
2024-01-29T11:29:00.000Z,zone-a,pressure,1004.1
2024-01-29T11:31:00.000Z,zone-a,humidity,73
2024-01-29T12:56:00.000Z,zone-d,humidity,69.3
2024-01-29T14:44:00.000Z,zone-d,pressure,993.1
2024-01-29T14:59:00.000Z,zone-d,temperature,22.6
2024-01-29T15:16:00.000Z,zone-c,humidity,38.9
2024-01-29T15:52:00.000Z,zone-b,humidity,39
2024-01-29T17:27:00.000Z,zone-d,light,171.3
2024-01-29T19:31:00.000Z,zone-b,pressure,1001.2
2024-01-29T20:17:00.000Z,zone-c,light,387.5
2024-01-29T21:14:00.000Z,zone-a,light,629.6
2024-01-29T21:28:00.000Z,zone-b,light,100.9
2024-01-29T23:38:00.000Z,zone-b,temperature,22.4
2024-01-30T01:17:00.000Z,zone-d,pressure,996.9
2024-01-30T01:47:00.000Z,zone-a,temperature,25.3
2024-01-30T02:32:00.000Z,zone-a,humidity,69.7
2024-01-30T03:16:00.000Z,zone-c,temperature,24.9
2024-01-30T04:30:00.000Z,zone-c,pressure,1013.5
